
,,,דו"ח אג''ס לפי סטטוס

אג''ס,סה''כ,נשואים/נשואות,גרושים/גרושות,אלמנים/אלמנות,רווקים/רווקות,משפחות שבראשן עומד הורה עצמאי,גרוש-אלמן-משפחות שבראשן עומד הורה עצמאי%,
0,5395,2297,253,72,2772,85,7.60,
111,2970,964,436,186,1379,64,23.10,
112,2623,812,387,202,1220,68,25.05,
113,2088,497,331,144,1113,58,25.53,
121,3273,928,539,352,1445,58,28.99,
122,1116,317,175,76,547,23,24.55,
123,1359,333,156,75,795,21,18.54,
131,2183,699,235,151,1095,17,18.46,
132,2632,687,546,204,1192,51,30.43,
133,1360,478,158,92,630,13,19.34,
211,4267,1739,430,254,1841,66,17.58,
212,4874,1743,540,220,2370,89,17.42,
213,4288,1703,203,188,2192,31,9.84,
214,5317,2217,452,222,2426,90,14.37,
215,2191,770,286,146,988,46,21.82,
216,3885,1213,683,423,1557,81,30.55,
221,3554,1215,548,285,1505,84,25.80,
222,3980,1358,517,239,1858,80,21.01,
223,2895,1161,278,163,1291,49,16.93,
224,2253,903,201,94,1055,25,14.20,
225,3912,1502,414,217,1777,78,18.12,
226,1591,692,159,83,657,26,16.84,
234,3063,1387,165,104,1407,29,9.73,
311,3666,1651,283,150,1580,55,13.31,
312,5299,2337,433,249,2276,76,14.30,
313,3232,1411,254,149,1416,40,13.71,
314,1241,550,25,9,657,6,3.22,
411,3821,1620,98,28,2075,25,3.95,
412,2673,1060,304,136,1171,45,18.14,
413,6623,2682,735,375,2829,136,18.81,
414,6983,2855,661,328,3138,160,16.45,
415,7153,2884,539,213,3515,132,12.36,
421,5556,2798,201,154,2403,40,7.11,
422,6034,2419,501,233,2880,117,14.10,
423,4778,1799,547,269,2161,109,19.36,
431,4381,1719,278,133,2249,41,10.32,
432,4094,1559,514,259,1757,69,20.57,
433,2074,688,322,114,950,56,23.72,
434,4353,1646,493,344,1863,58,20.56,
511,2540,868,381,146,1142,49,22.68,
512,3418,1234,302,231,1642,51,17.09,
513,3331,1347,284,215,1483,25,15.73,
521,2267,851,226,120,1069,29,16.54,
522,3400,1320,300,140,1638,58,14.65,
523,3365,1138,395,165,1666,68,18.66,
611,5252,2136,436,284,2392,75,15.14,
612,4841,1870,439,212,2317,80,15.10,
613,5634,2453,292,162,2723,60,9.12,
614,2547,1027,307,201,1009,31,21.16,
621,19,5,5,0,9,0,26.32,
624,2052,691,244,120,996,16,18.52,
631,4013,1438,588,405,1577,55,26.12,
632,3628,1068,504,214,1838,52,21.22,
633,2606,671,370,143,1414,42,21.30,
634,21,7,1,0,13,0,4.76,
641,2922,1357,160,93,1311,33,9.79,
642,4769,2116,218,129,2306,48,8.28,
643,5258,2428,240,140,2450,64,8.44,
644,1199,602,43,38,516,7,7.34,
645,9363,3777,549,194,4843,166,9.71,
646,6777,2949,374,117,3337,127,9.12,
