
,,,דו"ח אג''ס לפי עולים וותיקים

אג''ס,סה''כ,עולים מרוסיה,עולים מאתיופיה,עולים מארה''ב,עולים מדרא''פ,עולים משאר הארצות,סה''כ עולים,עולים %,
0,5395,88,22,28,4,972,1114,20.65,
111,2970,144,39,10,0,1022,1215,40.91,
112,2623,125,166,7,2,1051,1351,51.51,
113,2088,106,64,6,1,734,911,43.63,
121,3273,245,22,20,1,1075,1363,41.64,
122,1116,71,12,9,0,397,489,43.82,
123,1359,34,6,7,0,295,342,25.17,
131,2183,81,4,26,3,510,624,28.58,
132,2632,191,31,18,0,1004,1244,47.26,
133,1360,64,7,7,0,482,560,41.18,
211,4267,198,97,11,1,1357,1664,39.00,
212,4874,286,601,12,1,1415,2315,47.50,
213,4288,78,71,5,0,827,981,22.88,
214,5317,277,102,1,1,1772,2153,40.49,
215,2191,118,328,5,1,621,1073,48.97,
216,3885,369,369,15,0,1825,2578,66.36,
221,3554,355,384,4,0,1567,2310,65.00,
222,3980,303,508,34,3,1597,2445,61.43,
223,2895,135,261,0,0,914,1310,45.25,
224,2253,134,189,3,2,673,1001,44.43,
225,3912,292,331,4,1,1501,2129,54.42,
226,1591,112,22,3,2,639,778,48.90,
234,3063,102,18,4,0,801,925,30.20,
311,3666,186,48,4,0,1337,1575,42.96,
312,5299,276,39,6,0,2055,2376,44.84,
313,3232,185,23,3,1,1244,1456,45.05,
314,1241,20,7,0,1,185,213,17.16,
411,3821,43,3,0,0,416,462,12.09,
412,2673,267,32,5,3,959,1266,47.36,
413,6623,475,77,14,0,2463,3029,45.73,
414,6983,292,14,28,1,1886,2221,31.81,
415,7153,222,13,10,1,1437,1683,23.53,
421,5556,51,4,20,2,728,805,14.49,
422,6034,137,106,20,1,1332,1596,26.45,
423,4778,208,23,64,8,1578,1881,39.37,
431,4381,194,9,134,7,1393,1737,39.65,
432,4094,286,82,28,3,1692,2091,51.07,
433,2074,130,167,4,1,817,1119,53.95,
434,4353,255,45,68,10,1279,1657,38.07,
511,2540,260,78,8,1,1115,1462,57.56,
512,3418,110,22,17,0,631,780,22.82,
513,3331,66,23,50,2,717,858,25.76,
521,2267,70,4,19,1,437,531,23.42,
522,3400,84,9,9,0,552,654,19.24,
523,3365,101,14,28,0,661,804,23.89,
611,5252,148,3,118,9,1210,1488,28.33,
612,4841,120,5,24,7,885,1041,21.50,
613,5634,39,5,18,0,667,729,12.94,
614,2547,208,1,5,0,1430,1644,64.55,
621,19,0,0,1,0,3,4,21.05,
624,2052,91,23,13,0,498,625,30.46,
631,4013,342,46,16,3,1338,1745,43.48,
632,3628,134,244,37,2,860,1277,35.20,
633,2606,102,439,28,0,554,1123,43.09,
634,21,0,0,2,0,4,6,28.57,
641,2922,84,7,8,0,773,872,29.84,
642,4769,66,14,16,2,808,906,19.00,
643,5258,53,4,26,0,747,830,15.79,
644,1199,6,2,7,0,161,176,14.68,
645,9363,164,38,11,1,1348,1562,16.68,
646,6777,126,27,16,1,1003,1173,17.31,
