
,,,,,,,דו"ח אג''ס לפי קבוצות גיל

אג''ס,0-5,6-12,13-17,18-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-120,
0,1039,768,328,163,86,247,561,560,390,304,185,165,154,171,98,175,
111,249,255,176,138,129,201,188,183,141,156,167,179,172,191,162,283,
112,194,237,179,127,102,138,164,152,152,164,160,157,177,139,116,265,
113,193,225,131,123,78,154,126,126,114,100,108,117,125,86,92,190,
121,198,229,139,148,111,237,210,170,153,163,157,189,208,198,199,564,
122,62,57,34,54,43,107,100,48,62,59,71,68,74,67,77,133,
123,61,58,50,57,113,292,110,51,57,64,75,68,62,59,59,123,
131,87,106,67,73,127,354,134,89,73,113,119,122,169,140,142,268,
132,133,175,128,99,102,191,136,123,151,156,147,203,174,196,157,361,
133,106,92,57,42,40,152,117,72,72,67,66,72,100,83,70,152,
211,287,326,234,209,175,276,257,278,241,261,258,241,258,235,256,475,
212,480,516,345,264,202,376,358,335,295,266,249,250,251,227,171,289,
213,574,575,353,256,224,268,294,253,193,195,201,208,173,146,117,258,
214,489,546,370,305,233,321,367,345,325,352,318,285,291,279,226,265,
215,154,163,138,120,97,160,150,135,103,121,100,107,122,146,141,234,
216,208,274,179,148,157,250,225,225,211,160,185,223,254,260,294,632,
221,242,270,158,154,140,226,257,253,192,200,199,203,216,210,197,437,
222,272,292,226,184,145,282,290,286,260,241,211,222,222,212,226,409,
223,225,220,196,149,111,221,214,208,152,150,138,162,183,186,161,219,
224,177,187,143,126,109,195,167,168,118,141,136,120,126,117,86,137,
225,309,314,228,184,168,268,291,283,233,235,209,213,213,227,216,321,
226,118,107,95,75,56,121,104,91,73,107,87,117,110,96,116,118,
234,234,263,231,223,155,216,184,169,163,211,190,194,201,170,124,135,
311,288,364,202,209,154,251,245,250,224,221,216,254,242,162,176,208,
312,445,490,324,272,201,343,331,354,302,331,325,326,351,284,273,347,
313,262,296,194,186,146,213,223,191,167,204,243,201,211,153,133,209,
314,171,212,137,62,41,44,68,107,97,87,76,59,44,22,5,9,
411,251,574,491,369,204,211,93,148,338,394,288,157,143,76,48,36,
412,227,251,137,150,105,173,187,183,154,174,149,158,159,175,119,172,
413,528,536,411,374,252,399,433,425,387,458,404,330,404,401,354,527,
414,609,716,543,413,241,383,425,457,479,503,436,359,366,318,308,427,
415,774,909,599,445,269,400,470,509,475,485,418,344,321,252,197,286,
421,353,405,319,350,290,479,410,235,217,252,299,376,542,507,283,239,
422,562,629,447,325,228,369,394,420,408,375,315,307,318,328,250,359,
423,396,485,276,191,125,256,346,358,344,277,236,249,231,284,262,462,
431,457,531,304,212,176,347,320,321,279,246,197,192,197,184,134,284,
432,301,284,201,172,153,274,256,256,229,235,243,230,240,263,283,474,
433,183,165,110,101,80,150,173,138,149,103,102,100,125,121,108,166,
434,376,318,234,170,140,263,272,225,208,171,200,295,270,294,237,680,
511,187,176,131,109,100,183,196,148,153,155,130,144,191,158,142,237,
512,349,273,146,119,130,303,312,199,170,158,175,200,208,176,149,351,
513,272,193,86,89,111,396,286,211,152,131,141,206,238,213,190,416,
521,220,163,87,102,88,221,182,131,134,99,90,140,159,155,115,181,
522,333,365,221,183,127,247,257,213,184,192,153,177,223,206,133,186,
523,330,327,191,161,144,306,256,236,181,156,167,170,190,187,131,232,
611,419,484,285,244,169,308,328,344,345,290,283,271,331,340,280,531,
612,505,549,333,217,160,277,350,404,332,311,216,243,251,253,169,271,
613,452,633,481,348,256,352,323,335,349,397,289,294,313,311,232,269,
614,169,168,129,116,92,172,171,140,141,159,154,180,192,141,132,291,
621,0,1,1,0,2,1,1,2,1,2,1,2,3,2,0,0,
624,179,130,74,73,69,144,149,148,98,107,114,121,125,139,115,267,
631,240,288,194,144,128,238,239,211,218,195,205,220,228,280,349,636,
632,282,283,186,176,158,314,264,220,205,167,194,224,252,208,182,313,
633,222,158,117,115,128,342,243,148,116,119,136,135,137,132,108,250,
634,1,0,0,0,2,5,1,2,2,5,0,1,1,0,1,0,
641,197,244,199,180,138,225,187,151,155,165,192,202,241,164,131,151,
642,422,486,395,292,225,361,324,276,267,260,305,288,290,221,181,176,
643,495,540,362,305,230,401,337,290,329,270,300,359,332,281,217,210,
644,72,103,85,60,59,92,66,64,68,62,54,55,82,115,88,74,
645,1348,1536,776,425,251,373,703,918,806,588,364,292,321,251,200,211,
646,1123,1069,490,216,151,280,613,706,558,366,251,202,217,212,169,154,
